시군명,상호명,업종명(종목명),소재지지번주소,우편번호,위도,경도,사업자등록번호,업종코드,가맹점번호,휴폐업상태,현대카드_가맹여부
용인시,바바라,(일반의류/일반의류),경기도 용인시 수지구 신봉동 33번지,16815.0,37.32317795,127.0779942,1161164794,1106,977175355,계속사업자,X
용인시,더블케이디자인,(기타건축자재/기타건축자재),경기도 용인시 수지구 죽전동 339번지 도담마을죽전파크빌,16873.0,37.327645,127.1165951,1361316266,3403,996683264,계속사업자,X
용인시,스튜디오 까멜리아,(일반의류/일반의류),경기도 용인시 수지구 상현동 1158-3번지,16940.0,37.29772328,127.0806864,1461701472,1106,906131041,계속사업자,X
용인시,달달한김쌤,(일반주점/일반주점),경기도 용인시 수지구 죽전동 1328-3번지,16889.0,37.32392895,127.1243004,6041052463,2601,985413186,계속사업자,X
용인시,핑크버스 수지점,(기타잡화/기타잡화),경기도 용인시 수지구 신봉동 973번지,16811.0,37.32709397,127.0691003,3671201981,1401,915161377,계속사업자,X
용인시,참한찬,(일반음식점/일반음식점),경기도 용인시 수지구 성복동 167번지 KCC스위첸,16852.0,37.31520994,127.0730392,5691701923,2301,913445848,,X
용인시,아이티씨영어광교상현학원,(외국어학원/외국어학원),경기도 용인시 수지구 상현동 1131-8번지,16943.0,37.29656527,127.0694664,1429098376,7202,964281547,계속사업자,X
용인시,더헤어팝스(ThehairPOP,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 죽전동 472-5번지,16873.0,37.32683212,127.1133259,8744800136,1602,983616756,계속사업자,X
용인시,제이유더데이 헤어&헤드스파 신봉점,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 신봉동 641번지,16803.0,37.33391697,127.051982,6973701342,1602,916201974,계속사업자,X
용인시,닉 필라테스 & 운동센터 NIK PILATES BODY WORK,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 신봉동 969번지,16811.0,37.32779535,127.0686336,2326600618,8310,920178366,계속사업자,X
용인시,제주흑돼지네숯불구이,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 71-123번지,16833.0,37.32566548,127.1012997,6835700245,2301,989751318,계속사업자,X
용인시,파리바게뜨,(제과.제빵/제과.제빵),경기도 용인시 수지구 동천동 768-2번지,16826.0,37.34050357,127.0990085,1420860991,2501,969346253,계속사업자,X
용인시,봄빛수학교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 663-1번지,16830.0,37.32969363,127.0930495,8539701121,7213,900350985,,X
용인시,피펜,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1328-4번지,16889.0,37.3237588,127.1246511,2710202768,2301,916631162,계속사업자,X
용인시,원석통닭,(치킨전문점/치킨전문점),경기도 용인시 수지구 풍덕천동 522-2번지,16846.0,37.31650822,127.0832342,2083251986,2309,920243525,,X
용인시,짐사회서비스센터,(기타서비스/기타서비스),경기도 용인시 수지구 죽전동 1197-2번지,16880.0,37.33150843,127.123924,1429045433,9602,971408208,계속사업자,X
용인시,대단한탕후루 수지구청점,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 713-6번지,16837.0,37.3238103,127.0964786,3166400625,2301,919018185,,X
용인시,스윗제니,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1177-4번지,16875.0,37.33196464,127.1228268,5821302456,2301,919631557,계속사업자,X
용인시,씨유 고기유원지점,(편의점/편의점),경기도 용인시 수지구 고기동 235-2번지,16800.0,37.35788399,127.0494118,8293300753,5202,903416387,계속사업자,X
용인시,나준한의원,(한의원/한의원),경기도 용인시 수지구 상현동 1129번지,16942.0,37.30050496,127.074623,8909100018,4212,975769431,,X
용인시,아이렛,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 861번지 만현마을8단지두산위브아파트,16930.0,37.30455893,127.0866967,1829300643,7213,994555704,계속사업자,X
용인시,크는우리통합발달센터,(기타서비스/기타서비스),경기도 용인시 수지구 상현동 1131-3번지,16943.0,37.29767502,127.0697534,4138701676,9602,906050779,계속사업자,X
용인시,와이키사이언스학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 상현동 1116-3번지,16944.0,37.29744417,127.0682428,6029751722,7201,913557931,,X
용인시,선우가족놀이치료센터,(기타서비스/기타서비스),경기도 용인시 수지구 상현동 1131-1번지,16943.0,37.29814423,127.0698861,7109300623,9602,990597627,계속사업자,X
용인시,서울피아노포르테음악학원,(예체능계열학원/예체능계열학원),경기도 용인시 수지구 상현동 1132번지,16943.0,37.29820056,127.0705064,3119836841,7205,987785961,,X
용인시,스플24 스터디카페,(기타장비임대/기타장비임대),경기도 용인시 수지구 성복동 89번지,16849.0,37.31341877,127.0787936,4332800897,3503,900834921,계속사업자,X
용인시,더-에스헤어,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 죽전동 1322-1번지,16889.0,37.32287984,127.1231995,1291639879,1602,962381141,계속사업자,X
용인시,사단법인 코리아하이파이브스포츠클럽,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 풍덕천동 704-1번지,16837.0,37.32558677,127.0966949,1248222363,8310,971813902,계속사업자,X
용인시,매취랑 단국대점,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1324번지,16889.0,37.32358607,127.1241892,2180971754,2301,913239100,계속사업자,X
용인시,꿈나무놀이터어린이집,(유치원/유치원),경기도 용인시 수지구 고기동 143-3번지,16801.0,37.35612245,127.0701766,1428277357,7101,8106710799,계속사업자,X
용인시,스마트크린24,(기타서비스/기타서비스),경기도 용인시 수지구 동천동 878번지,16828.0,37.334941,127.0934276,7340401885,9602,903171099,계속사업자,X
용인시,배터리월드,(차량부품.용품/차량부품.용품),경기도 용인시 수지구 풍덕천동 239-3번지,16843.0,37.31565848,127.0876855,3864100265,6501,901920935,계속사업자,X
용인시,씨유 수지동천점,(편의점/편의점),경기도 용인시 수지구 동천동 180-5번지,16825.0,37.34164738,127.1013958,4501401671,5202,908311237,계속사업자,X
용인시,상현검도관,(무수도장 등(학원)/무수도장 등(학원)),경기도 용인시 수지구 상현동 254-14번지,16930.0,37.30676003,127.0846083,4589300157,7204,979392206,계속사업자,X
용인시,제이앤지피부과의원,(피부과/피부과),경기도 용인시 수지구 풍덕천동 29-7번지,16832.0,37.32737715,127.0957033,3161300531,4209,986097103,계속사업자,X
용인시,놀부부대찌개,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 1075-5번지,16836.0,37.32263123,127.0943517,8290500371,2301,980362065,,X
용인시,별다섯커피공장 별다섯,(커피전문점/커피전문점),경기도 용인시 수지구 고기동 240-5번지,16800.0,37.35694023,127.0501175,4458600599,2502,992965525,계속사업자,X
용인시,피피씨축구교실,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 성복동 628-13번지,16804.0,37.31958758,127.0479362,8239102035,7213,914908687,계속사업자,X
용인시,니하오마라탕,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1335-3번지,16889.0,37.32403058,127.1250787,3935100786,2301,911416288,계속사업자,X
용인시,와이블랙,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 1028번지,16844.0,37.31835957,127.0868017,3530702560,2301,911872175,,X
용인시,페코 FeCo,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 풍덕천동 730-7번지,16833.0,37.32531922,127.1001953,2943400390,1602,988114740,계속사업자,X
용인시,키스톤독서논술,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 222-11번지 진우빌라7차,16880.0,37.33098409,127.1206192,6389001033,7213,900802233,,X
용인시,지에스25 수지초입점,(편의점/편의점),경기도 용인시 수지구 동천동 884-7번지,16828.0,37.33334742,127.0966082,8173800978,5202,910310466,계속사업자,X
용인시,성공유리,(기타건축자재/기타건축자재),경기도 용인시 수지구 풍덕천동 671-5번지,16829.0,37.33250357,127.1002814,1420278183,3403,950047068,계속사업자,X
용인시,우도갈비막국수,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 474번지 동남아트빌라3차,16873.0,37.32725033,127.1144186,4791401686,2301,909422215,,X
용인시,에이에스피와이어트어학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 상현동 1127-1번지,16942.0,37.29883332,127.0734928,4919301599,7201,912614170,계속사업자,X
용인시,기파랑문해원학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 풍덕천동 1080-16번지,16841.0,37.32173918,127.0944468,2399301803,7201,911418078,,X
용인시,엠이케이학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 풍덕천동 706-3번지,16837.0,37.32508667,127.0954221,1429074414,7201,966864670,계속사업자,X
용인시,다비치안경원 용인죽전점,(안경.광학제품/안경.광학제품),경기도 용인시 수지구 죽전동 1205-1번지,16880.0,37.33155141,127.120447,4841601571,1403,910162719,계속사업자,X
용인시,청년협동조합180 카페어부바,(커피전문점/커피전문점),경기도 용인시 수지구 동천동 282번지,16821.0,37.33328155,127.0931657,5438501556,2502,907499447,,X
용인시,아도러블,(기타가정.주방용품/기타가정.주방용품),경기도 용인시 수지구 풍덕천동 703번지 수지마을동보아파트,16832.0,37.32575175,127.0974954,2644300289,3302,985630102,계속사업자,X
용인시,뷰티콜라겐,(화장품/화장품),경기도 용인시 수지구 동천동 873-3번지,16828.0,37.3359679,127.0932302,1352128707,1501,968637561,계속사업자,X
용인시,더뉴,(기타식음료품/기타식음료품),경기도 용인시 수지구 풍덕천동 1047-3번지,16844.0,37.31986045,127.088114,2178702567,2105,915932074,계속사업자,X
용인시,우리이비인후과의원,(이비인후과/이비인후과),경기도 용인시 수지구 동천동 174-9번지,16825.0,37.34030483,127.0962324,1429053476,4208,952299345,계속사업자,X
용인시,수소아과의원,(소아과/소아과),경기도 용인시 수지구 죽전동 2004-4,,,,1329086437,4214,922923081,계속사업자,X
용인시,육앤품 본점,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 85-11번지,16834.0,37.32305047,127.1010087,5482301835,2301,919944539,계속사업자,X
용인시,선실험과학,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 풍덕천동 522-2번지,16846.0,37.31650822,127.0832342,4909401633,7213,914173993,계속사업자,X
용인시,피오니,(일반의류/일반의류),경기도 용인시 수지구 성복동 70-1번지,16849.0,37.31305001,127.0790213,3320902010,1106,908949671,계속사업자,X
용인시,아레나죽전상설점JM타일 인테리어,(일반의류/일반의류),경기도 용인시 수지구 죽전동 1003-70번지,16869.0,37.32783419,127.1083091,1350748838,1106,911596153,계속사업자,X
용인시,마미떡,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 718-6번지,16835.0,37.32309822,127.0964825,4912301223,2301,909311277,계속사업자,X
용인시,뮤제이,(일반의류/일반의류),경기도 용인시 수지구 신봉동 138-1번지,16814.0,37.32814393,127.0727854,2413400590,1106,993870641,계속사업자,X
용인시,맘스터치,(패스트푸드점/패스트푸드점),경기도 용인시 수지구 동천동 944번지,16823.0,37.33638614,127.0916588,6765500715,2307,908712814,계속사업자,X
용인시,우디 스킨&바디,(통신.방문판매/통신.방문판매),경기도 용인시 수지구 신봉동 137-1번지,16814.0,37.32826013,127.0725138,2370200983,5602,989448378,계속사업자,X
용인시,바르다김선생 광교상현점,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1117-5번지,16944.0,37.29733798,127.068785,7430702327,2301,913417516,,X
