시군명,상호명,업종명(종목명),소재지지번주소,우편번호,위도,경도,사업자등록번호,업종코드,가맹점번호,휴폐업상태,현대카드_가맹여부,현대카드_가맹여부_재검토
용인시,리엔디자인,(기타건축자재/기타건축자재),경기도 용인시 수지구 풍덕천동 699번지,16836.0,37.32417122,127.0939484,8700901319,3403,901509894,,X,X
용인시,꼼지락 작업실,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 성복동 752번지 성동마을수지자이아파트,16809.0,37.32166424,127.068172,5521201240,7213,900050619,계속사업자,X,X
용인시,나다논술학원,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현1동 251 외2필지SR프라자 314,,,,1429071208,7213,957804354,계속사업자,X,X
용인시,달콤왕가탕후루 광교상현역점,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1117번지,16944.0,37.29851993,127.0690942,6474100966,2301,916178966,폐업자,X,X
용인시,오쿨토,(커피전문점/커피전문점),경기도 용인시 수지구 풍덕천동 719-3번지,16835.0,37.32298023,127.0962461,1074030591,2502,921001765,계속사업자,X,O
용인시,스마트에듀모아,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 1304번지 꽃메마을현대홈타운,16899.0,37.32321397,127.1177689,6579801141,7213,906057121,계속사업자,X,X
용인시,본점원조뼈다귀,(일반음식점/일반음식점),경기도 용인시 수지구 동천동 186-12번지,16826.0,37.33998346,127.1024771,1292862150,2301,925640674,계속사업자,X,X
용인시,몰라피자,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1188-5번지,16876.0,37.33188953,127.1275682,7222300962,2301,900448524,계속사업자,X,O
용인시,마당정육점,"(축산물,정육점/축산물,정육점)",경기도 용인시 수지구 풍덕천동 724번지,16835.0,37.32242853,127.0983483,1429013566,2102,940340243,,X,X
용인시,한국명품가구,(가구판매점/가구판매점),경기도 용인시 수지구 동천동 887외2필지 수지하우비제비01호~04호,,,,1340911477,3301,957268402,,X,X
용인시,임팩트투어(Impact,(여행사/여행사),경기도 용인시 수지구 상현동 1117번지,16944.0,37.29851993,127.0690942,1428148836,6201,989597414,계속사업자,X,X
용인시,170도시까스,(서양식전문점/서양식전문점),경기도 용인시 수지구 성복동 744-3번지 렉스빌,16848.0,37.31549224,127.0788723,8864600396,2305,994137826,계속사업자,X,X
용인시,경기도스쿠버,(기타취미.레저.스포츠/기타취미.레저.스포츠),경기도 용인시 수지구 죽전동 1003-43번지,16870.0,37.32876502,127.1063176,1420723460,8310,962965802,계속사업자,X,X
용인시,지에스25 동천필타운점,(편의점/편의점),경기도 용인시 수지구 동천동 185-14번지 필하우스,16826.0,37.34027718,127.1013692,5822401303,5202,909710262,계속사업자,X,X
용인시,용인수원분당무료출장자동차배터리밧데리할인 요소수,(차량부품.용품/차량부품.용품),경기도 용인시 수지구 상현동 860번지 서원마을3단지아이파크,16861.0,37.30822355,127.080425,8470302112,6501,908944938,계속사업자,X,X
용인시,씨유수지꿈에그린점,(편의점/편의점),경기도 용인시 수지구 상현동 1206번지 포레나광교상현,16863.0,37.30659112,127.072614,2112795254,5202,903292671,계속사업자,X,X
용인시,배리핏,(헬스클럽/헬스클럽),경기도 용인시 수지구 동천동 146-1번지,16824.0,37.34496759,127.0943558,2066064004,8305,921970969,계속사업자,X,O
용인시,카페나인패치,(일반음식점/일반음식점),경기도 용인시 수지구 고기동 249-6번지,16800.0,37.35737513,127.0530847,3571701150,2301,902664110,계속사업자,X,X
용인시,까페넬,(커피전문점/커피전문점),경기도 용인시 수지구 죽전동 1178-2번지,16876.0,37.33199395,127.1235378,1420912365,2502,971789334,계속사업자,X,X
용인시,훈민정육,"(축산물,정육점/축산물,정육점)",경기도 용인시 수지구 상현동 1129번지,16942.0,37.30050496,127.074623,3249201628,2102,914725560,계속사업자,X,X
용인시,마통비어,(치킨전문점/치킨전문점),경기도 용인시 수지구 죽전동 1175-7번지,16875.0,37.33187355,127.1197117,1420574965,2309,956267397,계속사업자,X,O
용인시,모두뼈다귀감자탕,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 254-1번지,16930.0,37.30714857,127.084877,7313500877,2301,908142053,계속사업자,X,X
용인시,옻안타는천연염색,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 성복동 33-1번지,16860.0,37.31074141,127.0812686,1903500362,1602,990769507,계속사업자,X,O
용인시,소명협동조합,(일반음식점/일반음식점),경기도 용인시 수지구 고기동 214-14번지,16800.0,37.35765197,127.0547881,1748701878,2301,905592979,계속사업자,X,X
용인시,좋은아침MK헤어넷,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 상현동 850번지,16930.0,37.307088,127.0855995,1351887439,1602,932966005,계속사업자,X,X
용인시,홍예아트미술교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 죽전동 1300번지,16898.0,37.32252754,127.1145669,4409501372,7213,908442974,계속사업자,X,X
용인시,몰입본능 상현지점,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 263번지,16930.0,37.3064742,127.0853547,7748601934,7213,912891018,계속사업자,X,X
용인시,아쉬탕가 살린요가 광교상현점,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 1130-2번지,16942.0,37.29774689,127.0746724,1906200752,7213,920681781,,X,X
용인시,에반엠,(자동차정비/자동차정비),경기도 용인시 수지구 동천동 874-3번지,16828.0,37.33572403,127.0930847,5052800547,6502,991219361,폐업자,X,X
용인시,지네일,(피부.체형미관리/피부.체형미관리),경기도 용인시 수지구 풍덕천동 1091-2번지,16841.0,37.3211322,127.0935585,1917700195,1701,992951970,계속사업자,X,O
용인시,겐코 용인단국대점,(일반음식점/일반음식점),경기도 용인시 수지구 죽전동 1328-4번지,16889.0,37.3237588,127.1246511,2111396028,2301,901983354,계속사업자,X,X
용인시,이태리 양조장 수지구청점,(일반주점/일반주점),경기도 용인시 수지구 풍덕천동 710-3번지,16837.0,37.32483929,127.0968908,5164400867,2601,914598223,계속사업자,X,X
용인시,수지풀무질수학전문학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 상현동 252번지,16930.0,37.30608423,127.0846797,1429121710,7201,969173020,계속사업자,X,X
용인시,솔로몬통신,(통신기기/통신기기),경기도 용인시 수지구 죽전동 510번지,16866.0,37.33166357,127.1105807,1420887267,3202,985141431,계속사업자,X,X
용인시,씨엘블랑,(식음료(기타)/식음료(기타)),경기도 용인시 수지구 신봉동 33번지,16815.0,37.32317795,127.0779942,4772801348,2310,910679613,,X,X
용인시,연세소아청소년과,(건강보조식품/건강보조식품),경기도 용인시 수지구 풍덕천동 1047-1번지,16844.0,37.31994,127.0876621,1351878681,2201,932867021,계속사업자,X,O
용인시,파리바게뜨용인동천점,(제과.제빵/제과.제빵),경기도 용인시 수지구 동천동 884-7번지,16828.0,37.33334742,127.0966082,2382601185,2501,907541974,,X,X
용인시,지에스25 동천수진점,(편의점/편의점),경기도 용인시 수지구 동천동 873-3번지,16828.0,37.3359679,127.0932302,1741500227,5202,911734284,계속사업자,X,X
용인시,비티엘잉글리시수지캠퍼스영어교습소,(기타교육.교습.학원/기타교육.교습.학원),경기도 용인시 수지구 상현동 254-14번지,16930.0,37.30676003,127.0846083,6409102162,7213,922807236,계속사업자,X,O
용인시,메이크,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 풍덕천동 1082-13번지,16841.0,37.32101015,127.0947668,1420509877,1602,953275864,계속사업자,X,O
