id,name,category,add,latitude,longitude,num,cate_num,현대카드_가맹여부
1,오후2시스튜디오,사진관.현상소/사진관.현상소,경기도 용인시 수지구 신봉동 593-2번지,37.33202905,127.0556957,3121745631,8113,가맹
2,효티네일(HYO TI NAIL),피부.체형미관리/피부.체형미관리,경기도 용인시 수지구 죽전동 474번지 동남아트빌라3차,37.32725033,127.1144186,4950502555,1701,비가맹
3,샤인스킨,화장품/화장품,경기도 용인시 수지구 상현동 1117번지,37.29851993,127.0690942,6790300388,1501,비가맹
4,라보빈,침구및수예품/침구및수예품,경기도 용인시 수지구 신봉동 639번지,37.33355933,127.0527517,7623000099,1202,비가맹
5,프로쇼파 천갈이,기타수리.수선전문/기타수리.수선전문,경기도 용인시 수지구 풍덕천동 682-6번지,37.33141596,127.1011903,1420951219,3504,비가맹
6,미노스타일,기타가정.주방용품/기타가정.주방용품,경기도 용인시 수지구 신봉동 639번지,37.33355933,127.0527517,2324200397,3302,가맹
7,제이에이치허특허법률사무소,법무전문서비스/법무전문서비스,경기도 용인시 수지구 성복동 471-4번지 몽펠리에힐포레,37.31564008,127.0600469,1101453422,9502,비가맹
8,까르르빈티지샵,일반의류/일반의류,경기도 용인시 수지구 신봉동 639번지,37.33355933,127.0527517,6123206884,1106,비가맹
9,성복세차장,세차장/세차장,경기도 용인시 수지구 수지로112번길 29 (성복동),,,1420412924,6702,가맹
10,탄탄창의수학리드앤톡영어학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 신봉동 50-2번지,37.32310353,127.0798795,3069519418,7201,비가맹
11,세일 앤 리퍼브,(기타식음료품/기타식음료품),경기도 용인시 수지구 죽전동 1189-1번지,37.33196069,127.1244184,3370601451,2105,비가맹
12,씨유(CU) 수지금호점,(편의점/편의점),경기도 용인시 수지구 상현동 867번지,37.3069206,127.0765052,2941701863,5202,가맹
13,GS25수지이편한점,(편의점/편의점),경기도 용인시 수지구 풍덕천동 1209번지 e편한세상수지,37.31670021,127.0840006,4401000605,5202,비가맹
14,99텔레콤,(통신기기/통신기기),경기도 용인시 수지구 성복동 381-2번지,37.32011164,127.0626618,2041739347,3202,비가맹
15,리안영어학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 동천동 873-3번지,37.3359679,127.0932302,1869000251,7201,비가맹
16,온헤어샵,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 동천동 145번지,37.34544225,127.0934613,5205300849,1602,비가맹
17,오브제헤어갤러리,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 상현동 864번지 만현마을성원상떼빌아파트,37.30925305,127.0912752,1420330809,1602,비가맹
18,디마리아(de Maria),(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 죽전동 1189-3번지,37.33198094,127.1251182,4171305751,1602,비가맹
19,살롱(Salon) 아띠 친구,(미용실(두발전문)/미용실(두발전문)),경기도 용인시 수지구 동천동 121-3번지,37.34539509,127.0928519,8653200918,1602,비가맹
20,청담에스테틱,(피부.체형미관리/피부.체형미관리),경기도 용인시 수지구 상현동 1131번지,37.29838789,127.0699637,6574301044,1701,비가맹
21,주주스킨앤바디,(피부.체형미관리/피부.체형미관리),경기도 용인시 수지구 풍덕천동 1080-20번지,37.32197902,127.0960483,3862800136,1701,비가맹
22,봉구스밥버거 광교점,(일반음식점/일반음식점),경기도 용인시 수지구 상현동 1132번지,37.29820056,127.0705064,1074183891,2301,비가맹
