시군명,상호명,업종명(종목명),소재지지번주소,우편번호,위도,경도,사업자등록번호,업종코드,가맹점번호,휴폐업상태,현대카드_가맹여부
용인시,파리바게뜨,(제과.제빵/제과.제빵),경기도 용인시 수지구 풍덕천동 193-8번지,16923.0,37.3201471,127.0980783,1352090918,2501,935345025,계속사업자,
용인시,안녕 블랑제,(제과.제빵/제과.제빵),경기도 용인시 수지구 상현동 254-14번지,16930.0,37.30676003,127.0846083,7900303173,2501,919400722,계속사업자,
용인시,에스케이모터스,(오토바이/오토바이),경기도 용인시 수지구 풍덕천동 732-5번지,16832.0,37.32585955,127.1000457,1351770362,6404,930266853,계속사업자,
용인시,위시랩수지점,(세차장/세차장),경기도 용인시 수지구 동천동 588-2번지,16802.0,37.34238497,127.0675905,8383300932,6702,905974136,계속사업자,
용인시,엔제리야,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 742번지,16832.0,37.32683802,127.1015192,1420655188,2301,959662867,계속사업자,
용인시,21세기열쇠철물,(기타건축자재/기타건축자재),경기도 용인시 수지구 풍덕천동 731-3번지,16833.0,37.32621566,127.1013983,1393063372,3403,912704674,폐업자,
용인시,국어의샘학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 신봉동 39번지,16815.0,37.32359036,127.0773711,1429131445,7201,971189428,계속사업자,
용인시,인투엠수학과학학원,"(입시학원,보습학원/입시학원,보습학원)",경기도 용인시 수지구 성복동 168-10번지 성복역서희스타힐스,16852.0,37.31568138,127.0712985,2629100737,7201,993763747,계속사업자,
용인시,독일보청기,(기타약품.의료기기/기타약품.의료기기),경기도 용인시 수지구 풍덕천동 1028번지,16844.0,37.31835957,127.0868017,1084603444,4501,959176298,,
용인시,제이에스(JS)복싱GYM,(무수도장 등(학원)/무수도장 등(학원)),경기도 용인시 수지구 죽전동 1190-1번지,16880.0,37.33148042,127.126464,5479201949,7204,916837835,계속사업자,
용인시,에밀리앤제이,(화원.화초/화원.화초),경기도 용인시 수지구 상현동 17-1번지,16928.0,37.31227222,127.0911347,3369100076,8110,914603296,계속사업자,
용인시,헬로(Hello),(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 700-1번지,16838.0,37.32695281,127.0955024,6550100146,2301,977961796,계속사업자,
용인시,꾸꾸닥,(일반음식점/일반음식점),경기도 용인시 수지구 성복동 139번지,16850.0,37.3157925,127.0746159,5552900608,2301,995703493,계속사업자,
용인시,삼첩분식 풍덕천점,(일반음식점/일반음식점),경기도 용인시 수지구 풍덕천동 722-3번지,16835.0,37.32351712,127.0977331,7670902477,2301,913684248,,
용인시,밝은약국,(약국/약국),경기도 용인시 수지구 상현동 1131번지,16943.0,37.29838789,127.0699637,8681900918,4402,995598091,계속사업자,
용인시,메디플러스약국,(약국/약국),경기도 용인시 수지구 풍덕천동 712번지,16837.0,37.32390552,127.0953269,1420840340,4402,968269753,계속사업자,
용인시,우미지산약국,(약국/약국),경기도 용인시 수지구 상현동 1220번지,16942.0,37.30030383,127.0713407,5730401413,4402,901616350,계속사업자,
용인시,소림마라 용인수지점,(중식전문점/중식전문점),경기도 용인시 수지구 풍덕천동 69-53번지,16833.0,37.32497952,127.1010324,8062801624,2302,916122261,계속사업자,
