시군명	상호명	업종명(종목명)	소재지지번주소	우편번호	위도	경도	사업자등록번호	업종코드	가맹점번호	휴폐업상태	현대카드_가맹여부
용인시	감미옥	(일반음식점/일반음식점)	경기도 용인시 수지구 죽전동 437번지	16873	37.32630017	127.1132834	3070944106	2301	968609255	계속사업자	O
용인시	별난아재맥주	(일반음식점/일반음식점)	경기도 용인시 수지구 동천동 105-3번지 동천자이아파트	16824	37.34588402	127.0908735	5215200845	2301	921219169	계속사업자	O
용인시	수지신봉동삼겹살맛집88892(팔팔팔구이)	(일반음식점/일반음식점)	경기도 용인시 수지구 신봉동 888-1번지	16816	37.32143106	127.0835908	6723501335	2301	921783701	계속사업자	O
용인시	우지커피 수지구청역점	(커피전문점/커피전문점)	경기도 용인시 수지구 풍덕천동 1080-9번지	16841	37.32253617	127.0955487	1304760454	2502	920187664	계속사업자	O
용인시	예일꽃화원	(화원.화초/화원.화초)	경기도 용인시 수지구 풍덕천동 102-7번지	16835	37.32303883	127.10023	1359928763	8110	914403803	계속사업자	O
용인시	스토리피아노음악학원	(예체능계열학원/예체능계열학원)	"경기도 용인시 수지구 죽전동 1151번지 인현마을힐스테이트7차아파트 상가2동 201,202호"	16866	37.33169391	127.1115851	4169899059	7205	981627045	계속사업자	X
용인시	라라발레학원	(예체능계열학원/예체능계열학원)	경기도 용인시 수지구 동천동 121-3번지	16824	37.34539509	127.0928519	6439201437	7205	902620468	계속사업자	O
용인시	아이피플미술학원	(예체능계열학원/예체능계열학원)	경기도 용인시 수지구 신봉동 949번지 신봉마을동부센트레빌5단지	16811	37.33091455	127.0662791	3449300595	7205	990201329	계속사업자	O
용인시	남영스파랜드 스포츠마사지실	(기타대인서비스/기타대인서비스)	경기도 용인시 수지구 동천동 171-1 남영스파랜드 내	16824	37.34273192	127.0970885	1420122402	8406	937525400	계속사업자	O
용인시	매머드익스프레스내대지마을점	(커피전문점/커피전문점)	경기도 용인시 수지구 죽전동 1188-1번지	16876	37.33195808	127.126439	5034595161	2502	918886889	계속사업자	O
용인시	채플린노래연습장	(노래방/노래방)	경기도 용인시 수지구 신봉동 82-4번지	16814	37.32425758	127.0774238	1824500598	8402	902733782	계속사업자	O
용인시	와썹코인	(노래방/노래방)	경기도 용인시 수지구 풍덕천동 709-3번지	16837	37.32479176	127.0961686	1360468840	8402	913009487	계속사업자	O
용인시	에스티(ST)과학	(기타교육.교습.학원/기타교육.교습.학원)	경기도 용인시 수지구 신봉동 33번지	16815	37.32317795	127.0779942	2152622590	7213	975140146	계속사업자	X
용인시	원더팔레트	(기타교육.교습.학원/기타교육.교습.학원)	경기도 용인시 수지구 성복동 168-10번지 성복역서희스타힐스	16852	37.31568138	127.0712985	6707300292	7213	996268306	계속사업자	O
용인시	라스에듀(L A S EDU)	(기타교육.교습.학원/기타교육.교습.학원)	경기도 용인시 수지구 성복동 771번지 버들치마을성복힐스테이트1차	16856	37.31432842	127.0710579	3849801170	7213	906088282	계속사업자	X
용인시	온영어교습소	(기타교육.교습.학원/기타교육.교습.학원)	경기도 용인시 수지구 동천동 282번지	16821	37.33328155	127.0931657	6149900953	7213	902460840	계속사업자	O
용인시	M.at.H	(기타교육.교습.학원/기타교육.교습.학원)	경기도 용인시 수지구 풍덕천동 1065번지 용인수지신정마을1단지	16836	37.32106227	127.0915724	7309500053	7213	976962746	계속사업자	X
용인시	등촌샤브칼국수 신봉점	(일반음식점/일반음식점)	경기도 용인시 수지구 신봉동 964-1번지	16811	37.32836951	127.0678853	1720402562	2301	916653240	계속사업자	O
용인시	라이또PC방 수지동천점	(오락실/PC방/오락실/PC방)	경기도 용인시 수지구 동천동 946-4번지	16822	37.33588699	127.0906794	1471201261	8401	900565467	계속사업자	X
용인시	BUNNY S BOOK CLUB	(기타오락.휴식시설/기타오락.휴식시설)	경기도 용인시 수지구 동천동 923번지 한빛마을래미안이스트팰리스4단지	16822	37.33577493	127.0843921	1791601999	8202	912342509	계속사업자	X
용인시	씨유(CU) 신봉자이점	(편의점/편의점)	경기도 용인시 수지구 신봉동 912번지 신봉마을자이3차	16810	37.32092388	127.0778262	2924500594	5202	904495695	계속사업자	O
용인시	고등어학원	"(입시학원,보습학원/입시학원,보습학원)"	경기도 용인시 수지구 상현동 1127-1번지	16942	37.29883332	127.0734928	3109341822	7201	911424837	계속사업자	O
용인시	위어스영어학원	"(입시학원,보습학원/입시학원,보습학원)"	경기도 용인시 수지구 상현동 259번지	16930	37.30737593	127.0854513	7359102024	7201	919221078	계속사업자	O
용인시	고고식당	(일반음식점/일반음식점)	경기도 용인시 수지구 풍덕천동 239-3번지	16843	37.31565848	127.0876855	4372001140	2301	906275467	계속사업자	O
용인시	충남 방앗간	(기타식음료품/기타식음료품)	경기도 용인시 수지구 풍덕천동 729-16번지	16833	37.32501104	127.0996891	1350942594	2105	952175743	계속사업자	O
용인시	치즈블리스 1995	(기타식음료품/기타식음료품)	경기도 용인시 수지구 성복동 89번지	16849	37.31341877	127.0787936	7851502480	2105	921689791	계속사업자	O
용인시	Noniin	(일반음식점/일반음식점)	경기도 용인시 수지구 풍덕천동 677-2번지	16829	37.33205536	127.1010175	7872101760	2301	914914867	계속사업자	O
용인시	또랑	(일반음식점/일반음식점)	경기도 용인시 수지구 신봉동 43-3번지	16816	37.3240163	127.0780121	7350502375	2301	912804540	계속사업자	O
용인시	설수지학원	"(입시학원,보습학원/입시학원,보습학원)"	경기도 용인시 수지구 풍덕천동 1082-11번지	16841	37.32119174	127.0951495	5489501701	7201	913583002	계속사업자	O
용인시	1프로학원	"(입시학원,보습학원/입시학원,보습학원)"	경기도 용인시 수지구 성복동 289-6번지	16809	37.31779827	127.0684424	6509900191	7201	982501645	계속사업자	X
용인시	서울경희한의원	(한의원/한의원)	경기도 용인시 수지구 풍덕천동 193-8번지	16923	37.3201471	127.0980783	1359131786	4212	932464837	계속사업자	O
용인시	연세W치과의원	(치과/치과)	경기도 용인시 수지구 죽전동 1254-3번지	16873	37.32846913	127.1150106	1420892979	4201	970713137	계속사업자	O
용인시	이플러스치과	(치과/치과)	경기도 용인시 수지구 풍덕천동 1080-9번지	16841	37.32253617	127.0955487	1420892590	4201	970769097	계속사업자	O
용인시	다인아트치과의원	(치과/치과)	경기도 용인시 수지구 상현동 1119-1번지	16944	37.29905211	127.0691927	8610203139	4201	918917189	계속사업자	O
